orthogroup	accession	protein_id	sequence_id	observed_n_tmd	modal_n_tmd	matches_modal
orthogroup_51	GCF_005671335.1	WP_010896262.1	orthogroup_51|GCF_005671335.1|WP_010896262.1	12	12	1
orthogroup_51	GCF_006094295.1	WP_001123541.1	orthogroup_51|GCF_006094295.1|WP_001123541.1	12	12	1
orthogroup_51	GCF_034478925.1	WP_009330068.1	orthogroup_51|GCF_034478925.1|WP_009330068.1	12	12	1
orthogroup_51	GCF_034479305.1	WP_157730523.1	orthogroup_51|GCF_034479305.1|WP_157730523.1	12	12	1
orthogroup_67	GCA_000015785.2	ABS72537.1	orthogroup_67|GCA_000015785.2|ABS72537.1	4	4	1
orthogroup_67	GCA_000025805.1	ADF37049.1	orthogroup_67|GCA_000025805.1|ADF37049.1	4	4	1
orthogroup_67	GCF_000009045.1	NP_387970.1	orthogroup_67|GCF_000009045.1|NP_387970.1	4	4	1
orthogroup_67	GCF_000009785.1	WP_011229595.1	orthogroup_67|GCF_000009785.1|WP_011229595.1	4	4	1
orthogroup_67	GCF_000011245.1	WP_041544400.1	orthogroup_67|GCF_000011245.1|WP_041544400.1	4	4	1
orthogroup_67	GCF_000017885.4	WP_012008687.1	orthogroup_67|GCF_000017885.4|WP_012008687.1	4	4	1
orthogroup_67	GCF_005671335.1	WP_010896289.1	orthogroup_67|GCF_005671335.1|WP_010896289.1	4	4	1
orthogroup_67	GCF_006094295.1	WP_000919677.1	orthogroup_67|GCF_006094295.1|WP_000919677.1	4	4	1
orthogroup_67	GCF_034478925.1	WP_009330350.1	orthogroup_67|GCF_034478925.1|WP_009330350.1	4	4	1
orthogroup_67	GCF_034479305.1	WP_094424311.1	orthogroup_67|GCF_034479305.1|WP_094424311.1	4	4	1
orthogroup_109	GCA_000015785.2	ABS72584.1	orthogroup_109|GCA_000015785.2|ABS72584.1	10	10	1
orthogroup_109	GCA_000025805.1	ADF37095.1	orthogroup_109|GCA_000025805.1|ADF37095.1	10	10	1
orthogroup_109	GCF_000009045.1	NP_388017.1	orthogroup_109|GCF_000009045.1|NP_388017.1	10	10	1
orthogroup_109	GCF_000009785.1	WP_011229639.1	orthogroup_109|GCF_000009785.1|WP_011229639.1	10	10	1
orthogroup_109	GCF_000011245.1	WP_011064542.1	orthogroup_109|GCF_000011245.1|WP_011064542.1	10	10	1
orthogroup_109	GCF_000017885.4	WP_012008710.1	orthogroup_109|GCF_000017885.4|WP_012008710.1	10	10	1
orthogroup_109	GCF_005671335.1	WP_053432309.1	orthogroup_109|GCF_005671335.1|WP_053432309.1	10	10	1
orthogroup_109	GCF_006094295.1	WP_000490117.1	orthogroup_109|GCF_006094295.1|WP_000490117.1	10	10	1
orthogroup_109	GCF_034478925.1	WP_003178368.1	orthogroup_109|GCF_034478925.1|WP_003178368.1	10	10	1
orthogroup_109	GCF_034479305.1	WP_094424296.1	orthogroup_109|GCF_034479305.1|WP_094424296.1	10	10	1
orthogroup_124	GCA_000015785.2	ABS72605.1	orthogroup_124|GCA_000015785.2|ABS72605.1	6	6	1
orthogroup_124	GCA_000025805.1	ADF37114.1	orthogroup_124|GCA_000025805.1|ADF37114.1	6	6	1
orthogroup_124	GCF_000009045.1	NP_388037.1	orthogroup_124|GCF_000009045.1|NP_388037.1	6	6	1
orthogroup_124	GCF_000009785.1	WP_011229659.1	orthogroup_124|GCF_000009785.1|WP_011229659.1	6	6	1
orthogroup_124	GCF_000011245.1	WP_011064599.1	orthogroup_124|GCF_000011245.1|WP_011064599.1	6	6	1
orthogroup_124	GCF_000017885.4	WP_012008726.1	orthogroup_124|GCF_000017885.4|WP_012008726.1	6	6	1
orthogroup_124	GCF_005671335.1	WP_010896424.1	orthogroup_124|GCF_005671335.1|WP_010896424.1	6	6	1
orthogroup_124	GCF_006094295.1	WP_001088527.1	orthogroup_124|GCF_006094295.1|WP_001088527.1	6	6	1
orthogroup_124	GCF_034478925.1	WP_003178407.1	orthogroup_124|GCF_034478925.1|WP_003178407.1	6	6	1
orthogroup_124	GCF_034479305.1	WP_073305888.1	orthogroup_124|GCF_034479305.1|WP_073305888.1	6	6	1
orthogroup_126	GCA_000015785.2	ABS72627.1	orthogroup_126|GCA_000015785.2|ABS72627.1	3	3	1
orthogroup_126	GCA_000025805.1	ADF37120.1	orthogroup_126|GCA_000025805.1|ADF37120.1	3	3	1
orthogroup_126	GCF_000009045.1	NP_388056.2	orthogroup_126|GCF_000009045.1|NP_388056.2	3	3	1
orthogroup_126	GCF_000009785.1	WP_011229664.1	orthogroup_126|GCF_000009785.1|WP_011229664.1	3	3	1
orthogroup_126	GCF_000011245.1	WP_011064631.1	orthogroup_126|GCF_000011245.1|WP_011064631.1	3	3	1
orthogroup_126	GCF_000017885.4	WP_012008741.1	orthogroup_126|GCF_000017885.4|WP_012008741.1	3	3	1
orthogroup_126	GCF_005671335.1	WP_010896447.1	orthogroup_126|GCF_005671335.1|WP_010896447.1	3	3	1
orthogroup_126	GCF_006094295.1	WP_001115697.1	orthogroup_126|GCF_006094295.1|WP_001115697.1	3	3	1
orthogroup_126	GCF_034478925.1	WP_003178443.1	orthogroup_126|GCF_034478925.1|WP_003178443.1	3	3	1
orthogroup_126	GCF_034479305.1	WP_094424265.1	orthogroup_126|GCF_034479305.1|WP_094424265.1	3	3	1
orthogroup_136	GCA_000015785.2	ABS72894.1	orthogroup_136|GCA_000015785.2|ABS72894.1	6	6	1
orthogroup_136	GCA_000025805.1	ADF37148.1	orthogroup_136|GCA_000025805.1|ADF37148.1	6	6	1
orthogroup_136	GCF_000009045.1	NP_388342.1	orthogroup_136|GCF_000009045.1|NP_388342.1	6	6	1
orthogroup_136	GCF_000009785.1	WP_011229737.1	orthogroup_136|GCF_000009785.1|WP_011229737.1	6	6	1
orthogroup_136	GCF_000011245.1	WP_011065023.1	orthogroup_136|GCF_000011245.1|WP_011065023.1	7	6	0
orthogroup_136	GCF_000017885.4	WP_012008991.1	orthogroup_136|GCF_000017885.4|WP_012008991.1	6	6	1
orthogroup_136	GCF_005671335.1	WP_053432219.1	orthogroup_136|GCF_005671335.1|WP_053432219.1	7	6	0
orthogroup_136	GCF_006094295.1	WP_000908523.1	orthogroup_136|GCF_006094295.1|WP_000908523.1	6	6	1
orthogroup_136	GCF_034478925.1	WP_003179118.1	orthogroup_136|GCF_034478925.1|WP_003179118.1	6	6	1
orthogroup_136	GCF_034479305.1	WP_094423754.1	orthogroup_136|GCF_034479305.1|WP_094423754.1	7	6	0
orthogroup_151	GCA_000015785.2	ABS73031.1	orthogroup_151|GCA_000015785.2|ABS73031.1	7	7	1
orthogroup_151	GCA_000025805.1	ADF37174.1	orthogroup_151|GCA_000025805.1|ADF37174.1	7	7	1
orthogroup_151	GCF_000009045.1	NP_388482.1	orthogroup_151|GCF_000009045.1|NP_388482.1	7	7	1
orthogroup_151	GCF_000009785.1	WP_011229755.1	orthogroup_151|GCF_000009785.1|WP_011229755.1	7	7	1
orthogroup_151	GCF_000011245.1	WP_011065060.1	orthogroup_151|GCF_000011245.1|WP_011065060.1	7	7	1
orthogroup_151	GCF_000017885.4	WP_012009081.1	orthogroup_151|GCF_000017885.4|WP_012009081.1	7	7	1
orthogroup_151	GCF_005671335.1	WP_053432278.1	orthogroup_151|GCF_005671335.1|WP_053432278.1	7	7	1
orthogroup_151	GCF_006094295.1	WP_000745324.1	orthogroup_151|GCF_006094295.1|WP_000745324.1	7	7	1
orthogroup_151	GCF_034478925.1	WP_003179245.1	orthogroup_151|GCF_034478925.1|WP_003179245.1	7	7	1
orthogroup_151	GCF_034479305.1	WP_094423683.1	orthogroup_151|GCF_034479305.1|WP_094423683.1	7	7	1
orthogroup_156	GCA_000015785.2	ABS73060.1	orthogroup_156|GCA_000015785.2|ABS73060.1	8	8	1
orthogroup_156	GCA_000025805.1	ADF37179.1	orthogroup_156|GCA_000025805.1|ADF37179.1	8	8	1
orthogroup_156	GCF_000009045.1	NP_388516.2	orthogroup_156|GCF_000009045.1|NP_388516.2	8	8	1
orthogroup_156	GCF_000009785.1	WP_011229762.1	orthogroup_156|GCF_000009785.1|WP_011229762.1	8	8	1
orthogroup_156	GCF_000011245.1	WP_011065123.1	orthogroup_156|GCF_000011245.1|WP_011065123.1	8	8	1
orthogroup_156	GCF_000017885.4	WP_012009092.1	orthogroup_156|GCF_000017885.4|WP_012009092.1	8	8	1
orthogroup_156	GCF_005671335.1	WP_053432245.1	orthogroup_156|GCF_005671335.1|WP_053432245.1	8	8	1
orthogroup_156	GCF_006094295.1	WP_000631786.1	orthogroup_156|GCF_006094295.1|WP_000631786.1	8	8	1
orthogroup_156	GCF_034478925.1	WP_003179513.1	orthogroup_156|GCF_034478925.1|WP_003179513.1	8	8	1
orthogroup_156	GCF_034479305.1	WP_094423639.1	orthogroup_156|GCF_034479305.1|WP_094423639.1	8	8	1
orthogroup_158	GCA_000015785.2	ABS73064.1	orthogroup_158|GCA_000015785.2|ABS73064.1	15	15	1
orthogroup_158	GCA_000025805.1	ADF37181.1	orthogroup_158|GCA_000025805.1|ADF37181.1	15	15	1
orthogroup_158	GCF_000009045.1	NP_388518.1	orthogroup_158|GCF_000009045.1|NP_388518.1	15	15	1
orthogroup_158	GCF_000009785.1	WP_011229764.1	orthogroup_158|GCF_000009785.1|WP_011229764.1	15	15	1
orthogroup_158	GCF_000011245.1	WP_011065131.1	orthogroup_158|GCF_000011245.1|WP_011065131.1	15	15	1
orthogroup_158	GCF_000017885.4	WP_003214014.1	orthogroup_158|GCF_000017885.4|WP_003214014.1	15	15	1
orthogroup_158	GCF_005671335.1	WP_053432243.1	orthogroup_158|GCF_005671335.1|WP_053432243.1	15	15	1
orthogroup_158	GCF_006094295.1	WP_000833082.1	orthogroup_158|GCF_006094295.1|WP_000833082.1	15	15	1
orthogroup_158	GCF_034478925.1	WP_011197610.1	orthogroup_158|GCF_034478925.1|WP_011197610.1	15	15	1
orthogroup_158	GCF_034479305.1	WP_094423610.1	orthogroup_158|GCF_034479305.1|WP_094423610.1	15	15	1
orthogroup_190	GCA_000015785.2	ABS73255.1	orthogroup_190|GCA_000015785.2|ABS73255.1	6	6	1
orthogroup_190	GCA_000025805.1	ADF37312.1	orthogroup_190|GCA_000025805.1|ADF37312.1	6	6	1
orthogroup_190	GCF_000009045.1	NP_388742.1	orthogroup_190|GCF_000009045.1|NP_388742.1	6	6	1
orthogroup_190	GCF_000009785.1	WP_011229960.1	orthogroup_190|GCF_000009785.1|WP_011229960.1	6	6	1
orthogroup_190	GCF_000011245.1	WP_011065301.1	orthogroup_190|GCF_000011245.1|WP_011065301.1	6	6	1
orthogroup_190	GCF_000017885.4	WP_012009332.1	orthogroup_190|GCF_000017885.4|WP_012009332.1	6	6	1
orthogroup_190	GCF_005671335.1	WP_053432592.1	orthogroup_190|GCF_005671335.1|WP_053432592.1	6	6	1
orthogroup_190	GCF_006094295.1	WP_000379111.1	orthogroup_190|GCF_006094295.1|WP_000379111.1	6	6	1
orthogroup_190	GCF_034478925.1	WP_003179931.1	orthogroup_190|GCF_034478925.1|WP_003179931.1	6	6	1
orthogroup_190	GCF_034479305.1	WP_094429013.1	orthogroup_190|GCF_034479305.1|WP_094429013.1	6	6	1
orthogroup_203	GCA_000015785.2	ABS73318.2	orthogroup_203|GCA_000015785.2|ABS73318.2	7	7	1
orthogroup_203	GCA_000025805.1	ADF37419.1	orthogroup_203|GCA_000025805.1|ADF37419.1	7	7	1
orthogroup_203	GCF_000009045.1	NP_388809.1	orthogroup_203|GCF_000009045.1|NP_388809.1	7	7	1
orthogroup_203	GCF_000009785.1	WP_011230856.1	orthogroup_203|GCF_000009785.1|WP_011230856.1	7	7	1
orthogroup_203	GCF_000011245.1	WP_011066869.1	orthogroup_203|GCF_000011245.1|WP_011066869.1	7	7	1
orthogroup_203	GCF_000017885.4	WP_012009400.1	orthogroup_203|GCF_000017885.4|WP_012009400.1	7	7	1
orthogroup_203	GCF_005671335.1	WP_010897262.1	orthogroup_203|GCF_005671335.1|WP_010897262.1	7	7	1
orthogroup_203	GCF_006094295.1	WP_001272200.1	orthogroup_203|GCF_006094295.1|WP_001272200.1	7	7	1
orthogroup_203	GCF_034478925.1	WP_003180086.1	orthogroup_203|GCF_034478925.1|WP_003180086.1	7	7	1
orthogroup_203	GCF_034479305.1	WP_257251717.1	orthogroup_203|GCF_034479305.1|WP_257251717.1	6	7	0
orthogroup_210	GCA_000015785.2	ABS73393.1	orthogroup_210|GCA_000015785.2|ABS73393.1	12	10	0
orthogroup_210	GCA_000025805.1	ADF37480.1	orthogroup_210|GCA_000025805.1|ADF37480.1	10	10	1
orthogroup_210	GCF_000009045.1	NP_388886.1	orthogroup_210|GCF_000009045.1|NP_388886.1	10	10	1
orthogroup_210	GCF_000009785.1	WP_011230162.1	orthogroup_210|GCF_000009785.1|WP_011230162.1	12	10	0
orthogroup_210	GCF_000011245.1	WP_011065556.1	orthogroup_210|GCF_000011245.1|WP_011065556.1	10	10	1
orthogroup_210	GCF_000017885.4	WP_012009455.1	orthogroup_210|GCF_000017885.4|WP_012009455.1	10	10	1
orthogroup_210	GCF_005671335.1	WP_053431618.1	orthogroup_210|GCF_005671335.1|WP_053431618.1	12	10	0
orthogroup_210	GCF_006094295.1	WP_001089155.1	orthogroup_210|GCF_006094295.1|WP_001089155.1	10	10	1
orthogroup_210	GCF_034478925.1	WP_011197713.1	orthogroup_210|GCF_034478925.1|WP_011197713.1	10	10	1
orthogroup_210	GCF_034479305.1	WP_094428770.1	orthogroup_210|GCF_034479305.1|WP_094428770.1	12	10	0
orthogroup_245	GCA_000015785.2	ABS73729.1	orthogroup_245|GCA_000015785.2|ABS73729.1	12	12	1
orthogroup_245	GCA_000025805.1	ADF38143.1	orthogroup_245|GCA_000025805.1|ADF38143.1	12	12	1
orthogroup_245	GCF_000009045.1	NP_389272.1	orthogroup_245|GCF_000009045.1|NP_389272.1	12	12	1
orthogroup_245	GCF_000009785.1	WP_011230492.1	orthogroup_245|GCF_000009785.1|WP_011230492.1	8	12	0
orthogroup_245	GCF_000011245.1	WP_011066279.1	orthogroup_245|GCF_000011245.1|WP_011066279.1	10	12	0
orthogroup_245	GCF_000017885.4	WP_012009759.1	orthogroup_245|GCF_000017885.4|WP_012009759.1	12	12	1
orthogroup_245	GCF_005671335.1	WP_053432549.1	orthogroup_245|GCF_005671335.1|WP_053432549.1	12	12	1
orthogroup_245	GCF_006094295.1	WP_000473177.1	orthogroup_245|GCF_006094295.1|WP_000473177.1	10	12	0
orthogroup_245	GCF_034478925.1	WP_003181245.1	orthogroup_245|GCF_034478925.1|WP_003181245.1	12	12	1
orthogroup_245	GCF_034479305.1	WP_094424287.1	orthogroup_245|GCF_034479305.1|WP_094424287.1	10	12	0
orthogroup_255	GCA_000015785.2	ABS73777.1	orthogroup_255|GCA_000015785.2|ABS73777.1	10	12	0
orthogroup_255	GCA_000025805.1	ADF38941.1	orthogroup_255|GCA_000025805.1|ADF38941.1	12	12	1
orthogroup_255	GCF_000009045.1	NP_389323.1	orthogroup_255|GCF_000009045.1|NP_389323.1	10	12	0
orthogroup_255	GCF_000009785.1	WP_011231328.1	orthogroup_255|GCF_000009785.1|WP_011231328.1	12	12	1
orthogroup_255	GCF_000011245.1	WP_011065244.1	orthogroup_255|GCF_000011245.1|WP_011065244.1	12	12	1
orthogroup_255	GCF_000017885.4	WP_012009806.1	orthogroup_255|GCF_000017885.4|WP_012009806.1	12	12	1
orthogroup_255	GCF_005671335.1	WP_053432541.1	orthogroup_255|GCF_005671335.1|WP_053432541.1	12	12	1
orthogroup_255	GCF_006094295.1	WP_000704606.1	orthogroup_255|GCF_006094295.1|WP_000704606.1	10	12	0
orthogroup_255	GCF_034478925.1	WP_009328577.1	orthogroup_255|GCF_034478925.1|WP_009328577.1	12	12	1
orthogroup_255	GCF_034479305.1	WP_094429066.1	orthogroup_255|GCF_034479305.1|WP_094429066.1	12	12	1
orthogroup_269	GCA_000015785.2	ABS73827.1	orthogroup_269|GCA_000015785.2|ABS73827.1	3	3	1
orthogroup_269	GCA_000025805.1	ADF38202.1	orthogroup_269|GCA_000025805.1|ADF38202.1	3	3	1
orthogroup_269	GCF_000009045.1	NP_389361.1	orthogroup_269|GCF_000009045.1|NP_389361.1	3	3	1
orthogroup_269	GCF_000009785.1	WP_011230571.1	orthogroup_269|GCF_000009785.1|WP_011230571.1	3	3	1
orthogroup_269	GCF_000011245.1	WP_011065829.1	orthogroup_269|GCF_000011245.1|WP_011065829.1	3	3	1
orthogroup_269	GCF_000017885.4	WP_049754946.1	orthogroup_269|GCF_000017885.4|WP_049754946.1	3	3	1
orthogroup_269	GCF_005671335.1	WP_053430866.1	orthogroup_269|GCF_005671335.1|WP_053430866.1	3	3	1
orthogroup_269	GCF_006094295.1	WP_000893662.1	orthogroup_269|GCF_006094295.1|WP_000893662.1	3	3	1
orthogroup_269	GCF_034478925.1	WP_003181448.1	orthogroup_269|GCF_034478925.1|WP_003181448.1	3	3	1
orthogroup_269	GCF_034479305.1	WP_094427301.1	orthogroup_269|GCF_034479305.1|WP_094427301.1	3	3	1
orthogroup_274	GCA_000015785.2	ABS73836.1	orthogroup_274|GCA_000015785.2|ABS73836.1	8	8	1
orthogroup_274	GCA_000025805.1	ADF38212.1	orthogroup_274|GCA_000025805.1|ADF38212.1	8	8	1
orthogroup_274	GCF_000009045.1	NP_389370.1	orthogroup_274|GCF_000009045.1|NP_389370.1	8	8	1
orthogroup_274	GCF_000009785.1	WP_011230580.1	orthogroup_274|GCF_000009785.1|WP_011230580.1	8	8	1
orthogroup_274	GCF_000011245.1	WP_011065837.1	orthogroup_274|GCF_000011245.1|WP_011065837.1	8	8	1
orthogroup_274	GCF_000017885.4	WP_003210766.1	orthogroup_274|GCF_000017885.4|WP_003210766.1	8	8	1
orthogroup_274	GCF_005671335.1	WP_053430876.1	orthogroup_274|GCF_005671335.1|WP_053430876.1	8	8	1
orthogroup_274	GCF_006094295.1	WP_001188743.1	orthogroup_274|GCF_006094295.1|WP_001188743.1	8	8	1
orthogroup_274	GCF_034478925.1	WP_003181473.1	orthogroup_274|GCF_034478925.1|WP_003181473.1	8	8	1
orthogroup_274	GCF_034479305.1	WP_094429273.1	orthogroup_274|GCF_034479305.1|WP_094429273.1	8	8	1
orthogroup_276	GCA_000015785.2	ABS73839.1	orthogroup_276|GCA_000015785.2|ABS73839.1	14	14	1
orthogroup_276	GCA_000025805.1	ADF38215.1	orthogroup_276|GCA_000025805.1|ADF38215.1	14	14	1
orthogroup_276	GCF_000009045.1	NP_389373.2	orthogroup_276|GCF_000009045.1|NP_389373.2	14	14	1
orthogroup_276	GCF_000009785.1	WP_011230583.1	orthogroup_276|GCF_000009785.1|WP_011230583.1	14	14	1
orthogroup_276	GCF_000011245.1	WP_011065840.1	orthogroup_276|GCF_000011245.1|WP_011065840.1	14	14	1
orthogroup_276	GCF_000017885.4	WP_012009844.1	orthogroup_276|GCF_000017885.4|WP_012009844.1	14	14	1
orthogroup_276	GCF_005671335.1	WP_010898765.1	orthogroup_276|GCF_005671335.1|WP_010898765.1	14	14	1
orthogroup_276	GCF_006094295.1	WP_153579316.1	orthogroup_276|GCF_006094295.1|WP_153579316.1	14	14	1
orthogroup_276	GCF_034478925.1	WP_009328562.1	orthogroup_276|GCF_034478925.1|WP_009328562.1	14	14	1
orthogroup_276	GCF_034479305.1	WP_094427311.1	orthogroup_276|GCF_034479305.1|WP_094427311.1	14	14	1
orthogroup_277	GCA_000015785.2	ABS73840.1	orthogroup_277|GCA_000015785.2|ABS73840.1	5	5	1
orthogroup_277	GCA_000025805.1	ADF38216.1	orthogroup_277|GCA_000025805.1|ADF38216.1	5	5	1
orthogroup_277	GCF_000009045.1	NP_389374.1	orthogroup_277|GCF_000009045.1|NP_389374.1	5	5	1
orthogroup_277	GCF_000009785.1	WP_011230584.1	orthogroup_277|GCF_000009785.1|WP_011230584.1	5	5	1
orthogroup_277	GCF_000011245.1	WP_011065841.1	orthogroup_277|GCF_000011245.1|WP_011065841.1	5	5	1
orthogroup_277	GCF_000017885.4	WP_003210862.1	orthogroup_277|GCF_000017885.4|WP_003210862.1	5	5	1
orthogroup_277	GCF_005671335.1	WP_010898764.1	orthogroup_277|GCF_005671335.1|WP_010898764.1	5	5	1
orthogroup_277	GCF_006094295.1	WP_000557861.1	orthogroup_277|GCF_006094295.1|WP_000557861.1	5	5	1
orthogroup_277	GCF_034478925.1	WP_003181484.1	orthogroup_277|GCF_034478925.1|WP_003181484.1	5	5	1
orthogroup_277	GCF_034479305.1	WP_094427313.1	orthogroup_277|GCF_034479305.1|WP_094427313.1	5	5	1
orthogroup_278	GCA_000015785.2	ABS73841.1	orthogroup_278|GCA_000015785.2|ABS73841.1	3	3	1
orthogroup_278	GCA_000025805.1	ADF38217.1	orthogroup_278|GCA_000025805.1|ADF38217.1	3	3	1
orthogroup_278	GCF_000009045.1	NP_389375.1	orthogroup_278|GCF_000009045.1|NP_389375.1	3	3	1
orthogroup_278	GCF_000009785.1	WP_011230585.1	orthogroup_278|GCF_000009785.1|WP_011230585.1	3	3	1
orthogroup_278	GCF_000011245.1	WP_011065842.1	orthogroup_278|GCF_000011245.1|WP_011065842.1	3	3	1
orthogroup_278	GCF_000017885.4	WP_003211520.1	orthogroup_278|GCF_000017885.4|WP_003211520.1	3	3	1
orthogroup_278	GCF_005671335.1	WP_010898763.1	orthogroup_278|GCF_005671335.1|WP_010898763.1	3	3	1
orthogroup_278	GCF_006094295.1	WP_000985706.1	orthogroup_278|GCF_006094295.1|WP_000985706.1	3	3	1
orthogroup_278	GCF_034478925.1	WP_003181487.1	orthogroup_278|GCF_034478925.1|WP_003181487.1	3	3	1
orthogroup_278	GCF_034479305.1	WP_062749139.1	orthogroup_278|GCF_034479305.1|WP_062749139.1	3	3	1
orthogroup_279	GCA_000015785.2	ABS73842.2	orthogroup_279|GCA_000015785.2|ABS73842.2	7	7	1
orthogroup_279	GCA_000025805.1	ADF38218.1	orthogroup_279|GCA_000025805.1|ADF38218.1	7	7	1
orthogroup_279	GCF_000009045.1	NP_389376.1	orthogroup_279|GCF_000009045.1|NP_389376.1	7	7	1
orthogroup_279	GCF_000009785.1	WP_011230586.1	orthogroup_279|GCF_000009785.1|WP_011230586.1	7	7	1
orthogroup_279	GCF_000011245.1	WP_011065843.1	orthogroup_279|GCF_000011245.1|WP_011065843.1	7	7	1
orthogroup_279	GCF_000017885.4	WP_012009845.1	orthogroup_279|GCF_000017885.4|WP_012009845.1	7	7	1
orthogroup_279	GCF_005671335.1	WP_010899052.1	orthogroup_279|GCF_005671335.1|WP_010899052.1	7	7	1
orthogroup_279	GCF_006094295.1	WP_000069023.1	orthogroup_279|GCF_006094295.1|WP_000069023.1	7	7	1
orthogroup_279	GCF_034478925.1	WP_011197954.1	orthogroup_279|GCF_034478925.1|WP_011197954.1	7	7	1
orthogroup_279	GCF_034479305.1	WP_094426897.1	orthogroup_279|GCF_034479305.1|WP_094426897.1	7	7	1
orthogroup_288	GCA_000015785.2	ABS73852.1	orthogroup_288|GCA_000015785.2|ABS73852.1	12	12	1
orthogroup_288	GCA_000025805.1	ADF41116.1	orthogroup_288|GCA_000025805.1|ADF41116.1	12	12	1
orthogroup_288	GCF_000009045.1	NP_389386.1	orthogroup_288|GCF_000009045.1|NP_389386.1	12	12	1
orthogroup_288	GCF_000009785.1	WP_011230600.1	orthogroup_288|GCF_000009785.1|WP_011230600.1	12	12	1
