anchor_type	orthogroup	cluster_index	modal_species_support_n	modal_species	represented_ge8_species	segment_positive_species_n	segment_positive_species	median_anchor_relative_position	sample_variance	qualifying_unit
start	orthogroup_1032	3	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1032	4	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	2	GCF_000009045.1;GCF_034478925.1	28.0	242.0	0
start	orthogroup_1038	1	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1038	2	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1038	3	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1038	4	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	1	GCF_000017885.4	0.0		0
start	orthogroup_1038	5	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1038	6	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	3	GCF_000011245.1;GCF_000017885.4;GCF_005671335.1	185.0	5334.333333333333	1
start	orthogroup_1043	1	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1	1	1	GCF_005671335.1	10.5		0
start	orthogroup_1043	2	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1	1	0				0
start	orthogroup_1043	3	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1	1	0				0
start	orthogroup_1043	4	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1	1	1	GCF_034478925.1	-3.0		0
start	orthogroup_1043	5	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1	1	0				0
start	orthogroup_1043	8	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1	1	0				0
start	orthogroup_1047	1	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1047	2	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	1	GCF_000009045.1	11.0		0
start	orthogroup_1047	3	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	2	GCF_000011245.1;GCF_034478925.1	1.0	200.0	0
start	orthogroup_1047	4	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	1	GCF_006094295.1	-1.0		0
start	orthogroup_1047	5	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	2	GCA_000025805.1;GCF_000009045.1	-6.5	4.5	0
start	orthogroup_1047	6	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1047	7	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1047	8	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	2	GCF_000011245.1;GCF_034478925.1	-12.75	1.125	0
start	orthogroup_1047	9	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	1	GCF_006094295.1	18.0		0
start	orthogroup_1047	11	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1047	12	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	1	GCF_000011245.1	5.0		0
start	orthogroup_1047	13	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	1	GCF_000011245.1	8.0		0
start	orthogroup_1047	14	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1052	1	5	GCA_000015785.2;GCF_000009045.1;GCF_000017885.4;GCF_005671335.1;GCF_034478925.1	0	0				0
start	orthogroup_1052	3	5	GCA_000015785.2;GCF_000009045.1;GCF_000017885.4;GCF_005671335.1;GCF_034478925.1	0	1	GCF_000009045.1	11.0		0
start	orthogroup_1052	4	5	GCA_000015785.2;GCF_000009045.1;GCF_000017885.4;GCF_005671335.1;GCF_034478925.1	0	0				0
start	orthogroup_1052	5	5	GCA_000015785.2;GCF_000009045.1;GCF_000017885.4;GCF_005671335.1;GCF_034478925.1	0	0				0
start	orthogroup_1052	6	5	GCA_000015785.2;GCF_000009045.1;GCF_000017885.4;GCF_005671335.1;GCF_034478925.1	0	0				0
start	orthogroup_1074	1	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1074	2	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1074	3	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1074	4	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_109	1	10	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	3	GCF_000009045.1;GCF_005671335.1;GCF_034479305.1	3.5	59.083333333333336	1
start	orthogroup_109	2	10	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	3	GCA_000025805.1;GCF_000011245.1;GCF_006094295.1	15.0	5.333333333333333	1
start	orthogroup_109	3	10	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_109	4	10	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	1	GCF_034478925.1	6.0		0
start	orthogroup_109	5	10	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_109	6	10	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_109	7	10	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_109	8	10	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_109	9	10	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_109	10	10	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	1	GCA_000025805.1	-8.0		0
start	orthogroup_1117	1	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1	1	0				0
start	orthogroup_1117	2	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1	1	0				0
start	orthogroup_1117	3	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1	1	1	GCF_006094295.1	12.0		0
start	orthogroup_1117	4	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1	1	0				0
start	orthogroup_1117	5	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1	1	0				0
start	orthogroup_1117	6	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1	1	0				0
start	orthogroup_1117	7	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1	1	0				0
start	orthogroup_1117	8	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1	1	0				0
start	orthogroup_1117	9	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1	1	0				0
start	orthogroup_1117	10	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1	1	0				0
start	orthogroup_1117	11	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1	1	0				0
start	orthogroup_1117	12	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1	1	1	GCA_000025805.1	30.5		0
start	orthogroup_1120	1	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	2	GCF_005671335.1;GCF_034479305.1	-1.0	128.0	0
start	orthogroup_1120	2	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1120	3	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	1	GCF_000017885.4	4.5		0
start	orthogroup_1120	4	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1120	5	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1120	6	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1120	7	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1125	1	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1125	2	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1125	3	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1125	4	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_034478925.1;GCF_034479305.1	1	1	GCF_034478925.1	-7.5		0
start	orthogroup_1125	5	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_034478925.1;GCF_034479305.1	1	1	GCF_034479305.1	36.5		0
start	orthogroup_1140	1	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1140	2	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	1	GCA_000025805.1	11.0		0
start	orthogroup_1140	3	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1140	4	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	1	GCF_034479305.1	-10.0		0
start	orthogroup_1140	5	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	1	GCF_034478925.1	4.0		0
start	orthogroup_1140	6	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	1	GCA_000015785.2	-1.0		0
start	orthogroup_1140	7	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	2	GCF_000009785.1;GCF_006094295.1	5.5	12.5	0
start	orthogroup_1141	1	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1141	2	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1141	3	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1141	4	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_034478925.1;GCF_034479305.1	1	0				0
